date,official_forecast,actual_gold_price,forecast_lower,forecast_upper,split,source_model_label,selected_model_key,selected_model_name
2019-09-23,1511.188057061275,1543.3,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-09-24,1527.562512479821,1542.8,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-09-25,1527.0345641402766,1519.5,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-09-26,1508.2627070609653,1514.4,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-09-27,1505.5524576614082,1514.4,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-09-30,1506.1916886352471,1493.5,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-10-01,1489.0575799769663,1295.7,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-10-02,1324.4283081974954,1295.7,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-10-03,1331.9352083081221,1295.7,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-10-04,1330.2509448370636,1313.1,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-10-07,1343.2273692526383,1429.4,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-10-08,1438.5166034340957,1429.4,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-10-09,1432.893904383389,1506.2,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-10-10,1497.0952035380224,1508.0,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-10-11,1495.5937493178662,1508.0,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-10-14,1496.0899440992089,1503.0,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-10-15,1492.4531951561771,1495.5,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-10-16,1486.881422302006,1501.1,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-10-17,1492.3104841339486,1497.9,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-10-18,1489.7868761325842,1497.9,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
