feature,horizon,mean_abs_price_change_when_occluded,sample_rows
gold_return_60,10,7.898873805999756,400
nominal_yield,5,7.841731071472168,400
policy_unc,1,7.7193779945373535,400
gold_return_5,1,7.573769569396973,400
gold_volatility_20,5,7.045071601867676,400
gold_price,1,6.941717624664307,400
gold_lag_1,1,6.871706008911133,400
beta_day_of_year_cos,30,6.779371738433838,400
unrate,10,6.4863080978393555,400
ind_prod,5,6.4714837074279785,400
unrate,30,6.344200611114502,400
gold_volatility_20,20,6.127842903137207,400
beta_day_of_year_cos,10,6.003082752227783,400
beta_day_of_year_sin,1,5.946990489959717,400
gpr_index,1,5.856809139251709,400
beta_day_of_year_cos,20,5.5978899002075195,400
beta_day_of_year_cos,5,5.486001014709473,400
inflation,30,5.316680431365967,400
beta_time_index,1,5.309497833251953,400
inflation,5,5.218807220458984,400
inflation,20,5.200000762939453,400
gold_ma_20,1,5.183172225952148,400
inflation,10,4.943017959594727,400
beta_quarter,1,4.712522506713867,400
gold_lag_5,1,4.70034646987915,400
unrate,5,4.612009048461914,400
fed_bs,1,4.6103105545043945,400
oil_wti,20,4.569369316101074,400
eur_usd,1,4.358141899108887,400
beta_month,1,4.303436279296875,400
m2_supply,1,4.27739143371582,400
oil_wti,5,3.7761847972869873,400
unrate,20,3.7203497886657715,400
gold_return_60,1,3.683185338973999,400
real_yield,1,3.6676671504974365,400
ppi_index,1,3.635425329208374,400
gold_log_price,1,3.5594842433929443,400
usd_index,1,3.555893659591675,400
tips_curve,1,3.5215563774108887,400
vix_index,20,3.495187997817993,400
oil_wti,10,3.321884870529175,400
beta_year,1,3.167555570602417,400
nominal_yield,1,3.092341423034668,400
gold_volatility_20,1,2.7103729248046875,400
vix_index,5,2.61086368560791,400
vix_index,10,2.481288433074951,400
fin_stress,5,2.3214354515075684,400
vix_index,30,2.298177480697632,400
ind_prod,1,2.231332302093506,400
unrate,1,2.155635356903076,400
fin_stress,20,2.1090497970581055,400
inflation,1,2.0545051097869873,400
oil_wti,30,2.0247247219085693,400
beta_day_of_year_cos,1,1.999688744544983,400
oil_wti,1,1.9625244140625,400
fin_stress,10,1.7060034275054932,400
fin_stress,30,1.637117862701416,400
cap_util,5,1.2455530166625977,400
gld_tonnes,5,0.9857922196388245,400
vix_index,1,0.9365893602371216,400
gld_tonnes,10,0.916918933391571,400
fin_stress,1,0.850309431552887,400
gld_tonnes,20,0.7373419404029846,400
cap_util,10,0.7246862649917603,400
gld_tonnes,30,0.6943560838699341,400
cap_util,30,0.6703527569770813,400
cap_util,20,0.5867040753364563,400
gld_tonnes,1,0.5504339337348938,400
cap_util,1,0.38215941190719604,400
