date,split,actual,yhat,yhat_lower,yhat_upper,forecast_stage
1969-06-27,train,39.0,,,,actual_training_history
1969-06-30,train,39.0,,,,actual_training_history
1969-07-01,train,42.1,,,,actual_training_history
1969-07-02,train,42.52,,,,actual_training_history
1969-07-03,train,43.5,,,,actual_training_history
1969-07-04,train,43.5,,,,actual_training_history
1969-07-07,train,41.85,,,,actual_training_history
1969-07-08,train,41.05,,,,actual_training_history
1969-07-09,train,41.05,,,,actual_training_history
1969-07-10,train,40.77,,,,actual_training_history
1969-07-11,train,38.52,,,,actual_training_history
1969-07-14,train,38.52,,,,actual_training_history
1969-07-15,train,38.52,,,,actual_training_history
1969-07-16,train,38.52,,,,actual_training_history
1969-07-17,train,38.52,,,,actual_training_history
1969-07-18,train,38.52,,,,actual_training_history
1969-07-21,train,38.52,,,,actual_training_history
1969-07-22,train,38.52,,,,actual_training_history
1969-07-23,train,38.52,,,,actual_training_history
1969-07-24,train,38.52,,,,actual_training_history
1969-07-25,train,38.52,,,,actual_training_history
1969-07-28,train,38.52,,,,actual_training_history
1969-07-29,train,38.52,,,,actual_training_history
1969-07-30,train,38.52,,,,actual_training_history
1969-07-31,train,38.52,,,,actual_training_history
1969-08-01,train,42.45,,,,actual_training_history
1969-08-04,train,43.38,,,,actual_training_history
1969-08-05,train,43.62,,,,actual_training_history
1969-08-06,train,43.62,,,,actual_training_history
1969-08-07,train,42.1,,,,actual_training_history
1969-08-08,train,41.15,,,,actual_training_history
1969-08-11,train,40.73,,,,actual_training_history
1969-08-12,train,35.05,,,,actual_training_history
1969-08-13,train,35.05,,,,actual_training_history
1969-08-14,train,35.05,,,,actual_training_history
1969-08-15,train,35.05,,,,actual_training_history
1969-08-18,train,35.05,,,,actual_training_history
1969-08-19,train,35.05,,,,actual_training_history
1969-08-20,train,35.05,,,,actual_training_history
1969-08-21,train,35.05,,,,actual_training_history
1969-08-22,train,35.05,,,,actual_training_history
1969-08-25,train,35.05,,,,actual_training_history
1969-08-26,train,35.05,,,,actual_training_history
1969-08-27,train,35.05,,,,actual_training_history
1969-08-28,train,35.05,,,,actual_training_history
1969-08-29,train,35.05,,,,actual_training_history
1969-09-01,train,42.5,,,,actual_training_history
1969-09-02,train,42.5,,,,actual_training_history
1969-09-03,train,42.5,,,,actual_training_history
1969-09-04,train,43.4,,,,actual_training_history
1969-09-05,train,43.52,,,,actual_training_history
1969-09-08,train,41.83,,,,actual_training_history
1969-09-09,train,41.05,,,,actual_training_history
1969-09-10,train,40.79,,,,actual_training_history
1969-09-11,train,40.79,,,,actual_training_history
1969-09-12,train,35.0,,,,actual_training_history
1969-09-15,train,35.0,,,,actual_training_history
1969-09-16,train,35.0,,,,actual_training_history
1969-09-17,train,35.0,,,,actual_training_history
1969-09-18,train,35.0,,,,actual_training_history
1969-09-19,train,35.0,,,,actual_training_history
1969-09-22,train,35.0,,,,actual_training_history
1969-09-23,train,35.0,,,,actual_training_history
1969-09-24,train,35.0,,,,actual_training_history
1969-09-25,train,35.0,,,,actual_training_history
1969-09-26,train,35.0,,,,actual_training_history
1969-09-29,train,35.0,,,,actual_training_history
1969-09-30,train,35.0,,,,actual_training_history
1969-10-01,train,42.3,,,,actual_training_history
1969-10-02,train,42.45,,,,actual_training_history
1969-10-03,train,43.83,,,,actual_training_history
1969-10-06,train,42.3,,,,actual_training_history
1969-10-07,train,41.9,,,,actual_training_history
1969-10-08,train,41.9,,,,actual_training_history
1969-10-09,train,40.95,,,,actual_training_history
1969-10-10,train,40.73,,,,actual_training_history
1969-10-13,train,35.05,,,,actual_training_history
1969-10-14,train,35.05,,,,actual_training_history
1969-10-15,train,35.05,,,,actual_training_history
1969-10-16,train,35.05,,,,actual_training_history
1969-10-17,train,35.05,,,,actual_training_history
1969-10-20,train,35.05,,,,actual_training_history
1969-10-21,train,35.05,,,,actual_training_history
1969-10-22,train,35.05,,,,actual_training_history
1969-10-23,train,35.05,,,,actual_training_history
1969-10-24,train,35.05,,,,actual_training_history
1969-10-27,train,35.05,,,,actual_training_history
1969-10-28,train,35.05,,,,actual_training_history
1969-10-29,train,35.05,,,,actual_training_history
1969-10-30,train,35.05,,,,actual_training_history
1969-10-31,train,35.05,,,,actual_training_history
1969-11-03,train,42.95,,,,actual_training_history
