trial_number,sequence_length,hidden_size,attention_heads,dropout,learning_rate,weight_decay,batch_size,grn_depth,status,validation_quantile_loss,epochs_completed,parameter_count,runtime_seconds
41,20,128,2,0.35866006974821746,0.0018085126845320196,1.4566369505688751e-06,64,3,completed,0.013257150099996258,49,527395,29.108
42,20,128,2,0.33819506265382693,0.0029034513685805064,1.070477843373517e-06,64,3,completed,0.014164283981218058,29,527395,17.874
43,20,128,2,0.05528271221840867,0.000904284172931425,4.055673488224771e-06,64,3,completed,0.015522809863528785,23,527395,13.887
44,20,128,2,0.17100935379988394,0.001966584981629834,4.5985544698761674e-07,64,3,completed,0.014783505651661578,32,527395,19.257
45,60,128,2,0.2898092600038856,0.0013311150251188448,1.623003246667191e-07,64,3,completed,0.01605168226010659,26,527395,15.735
46,20,256,2,0.39074657550409714,0.0007771400038625608,1.4269253924031077e-06,128,1,completed,0.016490013442105718,25,1608227,8.549
47,252,64,4,0.25170720047848555,3.5759141799145364e-05,2.8809475584218207e-07,64,3,completed,0.037115716978031045,27,145443,20.125
48,20,128,2,0.22597222557689953,0.0011334117575267952,6.42126612131816e-05,32,2,completed,0.014936010169824867,21,477603,23.016
49,20,192,8,0.0833952588629592,0.0006215158557176382,7.409764055464029e-07,128,3,completed,0.015483622749646505,21,1146915,9.057
50,20,256,2,0.3661619821587292,0.0022537167454897257,7.607192453360324e-08,32,1,completed,0.016155511281932846,25,1608227,26.275
51,20,128,2,0.3488333967433775,0.0017309390659068853,2.442815362887839e-06,64,3,completed,0.017479245003093693,17,527395,10.275
52,20,128,2,0.35941037276734167,0.0016003694949320974,2.9302885195218435e-06,64,3,completed,0.014098267016165397,27,527395,16.058
53,20,128,2,0.373228521287122,0.0009334462590776398,6.265503863479271e-06,64,3,completed,0.02468937383416821,13,527395,7.811
54,20,128,2,0.05034870980289552,0.0013467046847796557,1.2496845637547221e-06,64,3,completed,0.015044769874828704,22,527395,13.391
55,60,128,8,0.31976727371679936,0.000460780819219114,6.241938718499658e-07,64,3,completed,0.01962215420516098,15,527395,9.197
56,20,192,2,0.33502569334015514,0.0023549620081238657,2.9022979996428736e-06,128,3,completed,0.014094057389431529,43,1146915,16.372
