date,split,horizon,gold_price,actual_target,prediction,naive_prediction,predicted_log_return,error,interval_type,origin_index,origin_date,horizon_trading_days,raw_gold_price_anchor,actual_gold_price,predicted_log_return_p10,predicted_log_return_p50,predicted_log_return_p90,forecast_price_p10,forecast_price_p50,forecast_price_p90,p10,p50,p90,interval_width_price
2023-04-04,test,1,2034.199951171875,2085.39990234375,2052.6048769824556,2034.199951171875,0.009007059037685394,-32.79502536129439,native,4501,2023-04-04,1,2034.199951171875,2085.39990234375,-0.009489137679338455,0.009007059037685394,0.017030883580446243,2014.988606473009,2052.6048769824556,2069.140889735747,2014.988606473009,2052.6048769824556,2069.140889735747,54.15228326273791
2023-04-04,test,5,2034.199951171875,1836.0,2040.245849750354,2034.199951171875,0.002967745065689087,204.24584975035395,native,4501,2023-04-04,5,2034.199951171875,1836.0,-0.02263227477669716,0.002967745065689087,0.016480952501296997,1988.678447600134,2040.245849750354,2068.0031007043726,1988.678447600134,2040.245849750354,2068.0031007043726,79.32465310423868
2023-04-04,test,10,2034.199951171875,2013.4000244140625,2038.3747542332858,2034.199951171875,0.002050243318080902,24.974729819223285,native,4501,2023-04-04,10,2034.199951171875,2013.4000244140625,-0.025296315550804138,0.002050243318080902,0.016453199088573456,1983.3874376096064,2038.3747542332858,2067.9461142545915,1983.3874376096064,2038.3747542332858,2067.9461142545915,84.5586766449851
2023-04-04,test,20,2034.199951171875,1864.300048828125,2033.30611264467,2034.199951171875,-0.0004395022988319397,169.00606381654507,native,4501,2023-04-04,20,2034.199951171875,1864.300048828125,-0.02542109787464142,-0.0004395022988319397,0.013222120702266693,1983.1400921680033,2033.30611264467,2061.2748197017063,1983.1400921680033,2033.30611264467,2061.2748197017063,78.13472753370297
2023-04-04,test,30,2034.199951171875,2022.699951171875,2037.7149238934799,2034.199951171875,0.001726388931274414,15.014972721604863,native,4501,2023-04-04,30,2034.199951171875,2022.699951171875,-0.02553306519985199,0.001726388931274414,0.016005445271730423,1982.918087509388,2037.7149238934799,2067.020023821766,1982.918087509388,2037.7149238934799,2067.020023821766,84.1019363123778
2023-04-05,test,1,2085.39990234375,2085.39990234375,2091.622584933706,2085.39990234375,0.0029795393347740173,6.222682589956094,native,4502,2023-04-05,1,2085.39990234375,2085.39990234375,-0.018012814223766327,0.0029795393347740173,0.00975252315402031,2048.1723202853173,2091.622584933706,2105.837478085945,2048.1723202853173,2091.622584933706,2105.837478085945,57.66515780062764
2023-04-05,test,5,2085.39990234375,2140.699951171875,2075.272474620142,2085.39990234375,-0.00486823171377182,-65.42747655173298,native,4502,2023-04-05,5,2085.39990234375,2140.699951171875,-0.03389506787061691,-0.00486823171377182,0.008143004029989243,2015.8995657088235,2075.272474620142,2102.4508133532945,2015.8995657088235,2075.272474620142,2102.4508133532945,86.551247644471
2023-04-05,test,10,2085.39990234375,2009.699951171875,2073.2636700710573,2085.39990234375,-0.005836613476276398,63.56371889918228,native,4502,2023-04-05,10,2085.39990234375,2009.699951171875,-0.03668130934238434,-0.005836613476276398,0.006206482648849487,2010.2906741505722,2073.2636700710573,2098.382987248886,2010.2906741505722,2073.2636700710573,2098.382987248886,88.09231309831375
2023-04-05,test,20,2085.39990234375,1864.300048828125,2064.87867302433,2085.39990234375,-0.009889140725135803,200.57862419620506,native,4502,2023-04-05,20,2085.39990234375,1864.300048828125,-0.0389091819524765,-0.009889140725135803,0.00153114995919168,2005.817134411598,2064.87867302433,2088.5953944140347,2005.817134411598,2064.87867302433,2088.5953944140347,82.77826000243658
2023-04-05,test,30,2085.39990234375,1997.0,2073.6743556864385,2085.39990234375,-0.005638532340526581,76.6743556864385,native,4502,2023-04-05,30,2085.39990234375,1997.0,-0.03645879775285721,-0.005638532340526581,0.0067354291677474976,2010.7380281244696,2073.6743556864385,2099.4934791640844,2010.7380281244696,2073.6743556864385,2099.4934791640844,88.75545103961485
2023-04-06,test,1,2085.39990234375,2085.39990234375,2089.359587865416,2085.39990234375,0.0018969625234603882,3.9596855216659606,native,4503,2023-04-06,1,2085.39990234375,2085.39990234375,-0.018758799880743027,0.0018969625234603882,0.008930236101150513,2046.6449277787178,2089.359587865416,2104.1064829649404,2046.6449277787178,2089.359587865416,2104.1064829649404,57.46155518622254
2023-04-06,test,5,2085.39990234375,2053.0,2077.4939556486206,2085.39990234375,-0.0037983059883117676,24.493955648620613,native,4503,2023-04-06,5,2085.39990234375,2053.0,-0.032488711178302765,-0.0037983059883117676,0.01120273768901825,2018.7368265613331,2077.4939556486206,2108.8935060943477,2018.7368265613331,2077.4939556486206,2108.8935060943477,90.15667953301454
2023-04-06,test,10,2085.39990234375,2014.5,2079.126132650912,2085.39990234375,-0.0030129477381706238,64.62613265091204,native,4503,2023-04-06,10,2085.39990234375,2014.5,-0.03297659754753113,-0.0030129477381706238,0.009573295712471008,2017.7518771617324,2079.126132650912,2105.4598561429884,2017.7518771617324,2079.126132650912,2105.4598561429884,87.70797898125602
2023-04-06,test,20,2085.39990234375,2040.0999755859375,2071.828756407631,2085.39990234375,-0.0065290480852127075,31.728780821693363,native,4503,2023-04-06,20,2085.39990234375,2040.0999755859375,-0.03487416356801987,-0.0065290480852127075,0.00518876314163208,2013.926808020653,2071.828756407631,2096.248764483724,2013.926808020653,2071.828756407631,2096.248764483724,82.32195646307082
2023-04-06,test,30,2085.39990234375,1988.800048828125,2079.2291769533185,2085.39990234375,-0.0029633566737174988,90.42912812519353,native,4503,2023-04-06,30,2085.39990234375,1988.800048828125,-0.0330406054854393,-0.0029633566737174988,0.010193224996328354,2017.6228542595636,2079.2291769533185,2106.7654983052053,2017.6228542595636,2079.2291769533185,2106.7654983052053,89.14264404564165
2023-04-07,test,1,2085.39990234375,1836.0,2088.713230359368,2085.39990234375,0.0015875548124313354,252.71323035936803,native,4504,2023-04-07,1,2085.39990234375,1836.0,-0.02076265960931778,0.0015875548124313354,0.009491566568613052,2042.5478912870167,2088.713230359368,2105.288074205804,2042.5478912870167,2088.713230359368,2105.288074205804,62.74018291878747
2023-04-07,test,5,2085.39990234375,2053.0,2081.6834709834948,2085.39990234375,-0.0017836987972259521,28.68347098349477,native,4504,2023-04-07,5,2085.39990234375,2053.0,-0.030180566012859344,-0.0017836987972259521,0.011323757469654083,2023.401538962673,2081.6834709834948,2109.1488173092366,2023.401538962673,2081.6834709834948,2109.1488173092366,85.74727834656369
2023-04-07,test,10,2085.39990234375,2014.5,2077.7982408745447,2085.39990234375,-0.003651827573776245,63.29824087454472,native,4504,2023-04-07,10,2085.39990234375,2014.5,-0.03326389193534851,-0.003651827573776245,0.0070506371557712555,2017.1723927976564,2077.7982408745447,2100.155249810661,2017.1723927976564,2077.7982408745447,2100.155249810661,82.98285701300483
2023-04-07,test,20,2085.39990234375,2040.0999755859375,2070.067059305089,2085.39990234375,-0.007379703223705292,29.96708371915156,native,4504,2023-04-07,20,2085.39990234375,2040.0999755859375,-0.035781532526016235,-0.007379703223705292,0.0026735698338598013,2012.100350867986,2070.067059305089,2090.9826910027186,2012.100350867986,2070.067059305089,2090.9826910027186,78.88234013473266
2023-04-07,test,30,2085.39990234375,1988.800048828125,2079.44110763559,2085.39990234375,-0.00286150723695755,90.64105880746501,native,4504,2023-04-07,30,2085.39990234375,1988.800048828125,-0.03263360261917114,-0.00286150723695755,0.008333347737789154,2018.4443497898465,2079.44110763559,2102.850809209922,2018.4443497898465,2079.44110763559,2102.850809209922,84.40645942007541
2023-04-10,test,1,1836.0,1836.0,1862.5541911125183,1836.0,0.01435941457748413,26.55419111251831,native,4505,2023-04-10,1,1836.0,1836.0,-0.0033155828714370728,0.01435941457748413,0.026563569903373718,1829.9227945804596,1862.5541911125183,1885.424391746521,1829.9227945804596,1862.5541911125183,1885.424391746521,55.5015971660614
2023-04-10,test,5,1836.0,2018.199951171875,1861.3878421783447,1836.0,0.013733100146055222,-156.81210899353027,native,4505,2023-04-10,5,1836.0,2018.199951171875,-0.010767936706542969,0.013733100146055222,0.03234456479549408,1816.3361098766327,1861.3878421783447,1896.3555479049683,1816.3361098766327,1861.3878421783447,1896.3555479049683,80.01943802833557
2023-04-10,test,10,1836.0,1991.0,1863.111210823059,1836.0,0.01465853676199913,-127.88878917694092,native,4505,2023-04-10,10,1836.0,1991.0,-0.010440587997436523,0.01465853676199913,0.03160744160413742,1816.9306654930115,1863.111210823059,1894.958074092865,1816.9306654930115,1863.111210823059,1894.958074092865,78.02740859985352
2023-04-10,test,20,1836.0,1942.9000244140625,1856.4070572853088,1836.0,0.011053688824176788,-86.49296712875366,native,4505,2023-04-10,20,1836.0,1942.9000244140625,-0.012083902955055237,0.011053688824176788,0.026583116501569748,1813.947381734848,1856.4070572853088,1885.4611616134644,1813.947381734848,1856.4070572853088,1885.4611616134644,71.51377987861633
2023-04-10,test,30,1836.0,1984.800048828125,1863.9308724403381,1836.0,0.01509830728173256,-120.86917638778687,native,4505,2023-04-10,30,1836.0,1984.800048828125,-0.010406415909528732,0.01509830728173256,0.032597485929727554,1816.9928240776062,1863.9308724403381,1896.8350882530212,1816.9928240776062,1863.9308724403381,1896.8350882530212,79.84226417541504
2023-04-11,test,1,1836.0,2140.699951171875,1860.09476852417,1836.0,0.013038154691457748,-280.6051826477051,native,4506,2023-04-11,1,1836.0,2140.699951171875,-0.005279850214719772,0.013038154691457748,0.025582659989595413,1826.3317136764526,1860.09476852417,1883.5758304595947,1826.3317136764526,1860.09476852417,1883.5758304595947,57.24411678314209
2023-04-11,test,5,1836.0,2013.4000244140625,1860.029326915741,1836.0,0.013002999126911163,-153.37069749832153,native,4506,2023-04-11,5,1836.0,2013.4000244140625,-0.011813927441835403,0.013002999126911163,0.03082045540213585,1814.4373183250427,1860.029326915741,1893.4673624038696,1814.4373183250427,1860.029326915741,1893.4673624038696,79.0300440788269
