Date, GLD Close, NAV per GLD in Gold, NAV/share at 10.30 a.m. NYT, Indicative Price of GLD at 4.15 p.m. NYT, Mid point of bid/ask spread at 4.15 p.m. NYT#, Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT, Daily Share Volume, Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT, Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT, Total Net Asset Value in the Trust
16-Aug-11,173.92,97.37435,173.5697785,173.584,$173.90 ,0.18%,19553245,40603466.8,1262.9,72361240660
17-Aug-11,174.42,97.37336,174.2983217,174.415,$174.44 ,0.01%,16455764,40895586.88,1271.98,73187865267
18-Aug-11,177.73,97.37267,177.6077587,177.827,$177.73 ,-0.05%,25384165,41372712.96,1286.83,75447775899
19-Aug-11,179.99,97.37188,179.9432281,179.992,$179.96 ,-0.02%,34396109,41499296.41,1290.76,76673809508
22-Aug-11,184.59,97.36905,182.8103839,183.993,$184.56 ,0.31%,27301329,41294821.4,1284.4,77511602759
23-Aug-11,177.6,97.36796,182.6622919,179.142,$177.64 ,-0.84%,55185787,40496404.13,1259.57,75950980961
24-Aug-11,171.63,97.36534,172.3366445,171.624,$171.63 ,0.00%,70387086,39620116.07,1232.31,70106546960
25-Aug-11,172.23,97.36358,168.3416217,171.837,$172.28 ,0.26%,43009713,39620116.07,1232.31,68481371713
26-Aug-11,177.49,97.36353,174.0859943,175.77,$177.49 ,0.98%,38595320,39571434.3,1230.8,70731139467
29-Aug-11,173.89,97.36033,174.0802709,174.044,$173.90 ,-0.08%,24295671,39571434.3,1230.8,70728814085
30-Aug-11,179.05,97.35996,177.6819247,178.509,$179.10 ,0.33%,23364682,39620114.28,1232.31,72281006962
31-Aug-11,177.65,97.35867,176.5599521,177.595,$177.69 ,0.05%,14940527,39620114.28,1232.31,71824588520
1-Sep-11,177.87,97.35775,177.2884685,177.96,$177.84 ,-0.07%,13865792,39620114.28,1232.31,72120949002
2-Sep-11,183.23,97.35775,182.5701236,183.028,$183.22 ,0.11%,19040135,39620114.28,1232.31,74269526280
5-Sep-11, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
6-Sep-11,182.92,97.35389,184.4856214,183.113,$182.91 ,-0.11%,21265000,39620114.28,1232.31,75048750790
7-Sep-11,177.08,97.35091,176.2051513,176.419,$177.07 ,0.37%,21654300,39620114.28,1232.31,71680255530
8-Sep-11,181.78,97.3509,180.5859282,181.063,$181.80 ,0.41%,20680903,39590909.01,1231.41,73408179821
9-Sep-11,180.7,97.34974,180.194375,179.747,$180.69 ,0.52%,22114300,39928871.72,1241.92,73897713175
